yr,subject,winner
1901,Chemistry,Jacobus H. van 't Hoff
1902,Chemistry,Emil Fischer
1903,Chemistry,Svante Arrhenius
1901,Literature,Sully Prudhomme
1902,Literature,Theodor Mommsen
1903,Literature,Bjøjerne Bjøn
1901,Medicine,Emil von Behring
1902,Medicine,Ronald Ross
1903,Medicine,Niels Ryberg Finsen
1901,Peace,Henry Dunant
1901,Peace,Fréric Passy
1902,Peace,Éie Ducommun
1902,Peace,Albert Gobat
1903,Peace,Randal Cremer
1901,Physics,Wilhelm Conrad Röntgen
1902,Physics,Hendrik A. Lorentz
1902,Physics,Pieter Zeeman
1903,Physics,Henri Becquerel
1903,Physics,Pierre Curie
1903,Physics,Marie Curie
